- 12:22:10 | 0,02 EUR
- 11:52:13 | 1 EUR
- 11:52:14 | 12 EUR
- 11:54:25 | 7 EUR
- 11:54:28 | 77 EUR
- 11:55:52 | 7 EUR
- 11:58:10 | 7 EUR
- 11:59:53 | 26 EUR
- 12:01:05 | 2.2 EUR
- 12:01:24 | 2.60 EUR
- 12:01:50 | 20201012 EUR
- 12:02:43 | 2.60 EUR
- 12:07:12 | -9999 EUR
- 12:10:14 | 2.25 EUR
- 12:10:19 | -9999 EUR
- 12:10:45 | 2.25 EUR
- 12:10:52 | -9999 EUR
- 12:17:27 | 2.5 EUR
- 12:17:31 | -9999 EUR
- 12:18:39 | 99999 EUR
- 12:22:42 | 2.75 EUR
- 12:22:47 | -9999 EUR
- 12:26:01 | 2.65 EUR
- 12:26:06 | -9999 EUR
- 12:26:44 | 1 EUR
- 12:27:04 | 20201012 EUR
- 15:34:57 | 2.25 EUR
- 15:35:08 | 2.25 EUR
- 15:35:12 | -9999 EUR
- 15:35:25 | 2.58 EUR
- 15:35:30 | -9999 EUR
- 15:35:52 | 2.1111 EUR
- 15:35:57 | -9999 EUR
- 17:45:58 | 5 EUR
- 17:46:02 | -9999 EUR
- 16:53:31 | 0.3 EUR
- 16:58:16 | 0.09 EUR
- 17:02:41 | 0.2 EUR
- 17:03:07 | 0.3 EUR
- 17:03:57 | 0.2 EUR
- 17:11:51 | 0.1 EUR
- 17:14:46 | 0.1 EUR
- 17:16:05 | 0.7 EUR
- 17:20:46 | 0.6 EUR
- 17:26:16 | 0.2 EUR
- 17:27:28 | 0.5 EUR
- 17:29:17 | 0.1 EUR
- 18:36:31 | 0.4 EUR
- 19:10:04 | 0.3 EUR
- 19:20:47 | 0.01 EUR
- 19:27:31 | .03 EUR
- 19:28:55 | 0.3 EUR
- 19:34:19 | 0.2 EUR
- 19:34:52 | 0.2 EUR
- 19:36:57 | 0.2 EUR
- 19:37:35 | 0.2 EUR
- 19:44:57 | 0.2 EUR
- 19:46:22 | 0.2 EUR
- 19:46:41 | 0.1 EUR
- 20:36:18 | 20201013 EUR
- 09:41:59 | -9999 EUR
- 10:07:11 | -9999 EUR
- 10:07:20 | 10 EUR
- 10:07:27 | -9999 EUR
- 10:07:33 | 8 EUR
- 10:07:56 | 0.1 EUR
- 11:08:40 | 0.5 EUR
- 17:55:18 | 1 EUR
- 19:31:00 | 2.7 EUR
- 19:31:33 | 1.6 EUR
- 19:32:34 | 2.7 EUR
- 19:41:58 | 1.6 EUR
- 19:44:20 | 1 EUR
- 19:46:17 | 3 EUR
- 19:48:59 | 2 EUR
- 19:54:15 | 3 EUR
- 19:54:40 | 2 EUR
- 19:57:56 | 1 EUR
- 20:01:07 | 0.4 EUR
- 20:14:45 | 1 EUR
- 14:23:13 | 0.1 EUR
- 14:24:02 | 0.4 EUR
- 14:29:40 | 0.2 EUR
- 14:31:53 | 1 EUR
- 14:36:18 | 20201013 EUR
- 11:40:01 | 1 EUR
- 11:40:26 | 1 EUR
- 11:42:31 | 1 EUR
- 11:43:26 | 1 EUR
- 11:43:43 | 1 EUR
- 11:44:20 | 1 EUR
- 11:44:33 | -9999 EUR
- 11:44:43 | 1 EUR
- 11:44:49 | -9999 EUR
- 11:45:00 | 1.26 EUR
- 11:45:09 | -9999 EUR
- 11:54:35 | -9999 EUR
- 11:55:10 | -9999 EUR
- 11:58:06 | 11 EUR
- 12:00:27 | .5 EUR
- 12:02:31 | 0.5 EUR
- 12:04:38 | 20201015 EUR
- 12:06:51 | 20201015 EUR
- 12:07:42 | 20201014 EUR
- 12:09:09 | 0.5 EUR
- 12:10:38 | 1 EUR
- 12:10:45 | -9999 EUR
- 12:11:23 | 1 EUR
- 12:11:54 | 6 EUR
- 12:12:05 | -9999 EUR
- 12:12:14 | 2 EUR
- 12:13:19 | 999999 EUR
- 12:13:33 | 9999999 EUR
- 12:13:59 | 20201016 EUR
- 12:22:27 | 0.5 EUR
- 12:22:47 | 1 EUR
- 15:17:50 | 1 EUR
- 15:18:41 | 0.2 EUR
- 15:19:16 | 0.4 EUR
- 15:21:31 | 0.01 EUR
- 15:28:16 | 0.3 EUR
- 15:54:02 | 20201019 EUR
- 15:55:02 | 20201019 EUR
- 16:00:57 | 20201019 EUR
- 16:01:37 | 20201019 EUR
- 19:27:09 | 0.3 EUR
- 19:32:24 | 0.3 EUR
- 19:36:11 | 0.4 EUR
- 19:38:05 | 0.3 EUR
- 19:40:59 | 0.5 EUR
- 19:43:15 | 0.3 EUR
- 19:44:07 | 0.4 EUR
- 19:46:32 | 0.5 EUR
- 19:51:40 | 0.5 EUR
- 19:52:12 | 0.1 EUR
- 19:53:04 | 0.05 EUR
- 12:14:07 | 1.25 EUR
- 12:16:45 | 1.25 EUR
- 12:20:48 | 1.25 EUR
- 12:21:40 | 0.6 EUR
- 16:59:54 | 0.5 EUR
- 17:21:21 | 1 EUR
- 17:22:10 | 1.2 EUR
- 17:25:29 | 1.2 EUR
- 17:27:24 | 0.3 EUR
- 17:28:15 | 0.3 EUR
- 17:31:56 | 0.5 EUR
- 17:40:43 | 1 EUR
- 17:44:55 | 1 EUR
- 17:47:52 | 0.2 EUR
- 17:48:47 | 4 EUR
- 17:49:17 | 1 EUR
- 18:01:24 | 1 EUR
- 18:02:49 | 0.3 EUR
- 18:08:55 | 1 EUR
- 18:23:30 | 0.60 EUR
- 18:26:14 | 0.4 EUR
- 18:26:55 | 0.6 EUR
- 18:27:43 | 1 EUR
- 18:29:09 | 8 EUR
- 18:29:51 | 1 EUR
- 18:30:16 | 1 EUR
- 22:37:44 | 1 EUR
- 15:19:37 | 0.2 EUR
- 15:20:07 | 0.8 EUR
- 22:10:24 | 0.5 EUR
- 22:13:38 | 1 EUR
- 22:14:16 | 1 EUR
- 22:18:10 | 1 EUR
- 22:19:00 | 1 EUR
- 22:21:47 | 1 EUR
- 22:22:17 | 1 EUR
- 22:23:16 | 1 EUR
- 22:26:28 | 1 EUR
- 22:27:18 | 1 EUR
- 22:27:49 | 0.2 EUR
- 22:31:35 | 0.2 EUR
- 22:34:49 | 0.2 EUR
- 23:31:11 | 1 EUR
- 23:32:29 | 1 EUR
- 23:33:11 | 1 EUR
- 23:33:27 | 1 EUR
- 23:33:46 | 1 EUR
- 23:34:08 | 0.5 EUR
- 23:36:11 | 1 EUR
- 23:36:27 | 1 EUR
- 23:37:32 | 1 EUR
- 23:37:59 | 1 EUR
- 23:48:20 | 1 EUR
- 23:50:25 | 1 EUR
- 23:55:42 | 1 EUR
- 23:55:56 | 0.3 EUR
- 11:52:13 | 1 EUR
- 11:55:25 | 0.1 EUR
- 18:40:55 | 0.1 EUR
- 18:41:36 | 0.65 EUR
- 19:13:13 | 1 EUR
- 19:13:27 | 1 EUR
- 19:13:38 | 1 EUR
- 19:13:49 | 1 EUR
- 19:14:00 | 1 EUR
- 19:14:11 | 1 EUR
- 19:14:22 | 1 EUR
- 19:14:39 | 1 EUR
- 19:15:23 | 1 EUR
- 19:15:35 | 1 EUR
- 19:15:48 | 1 EUR
- 19:16:00 | 1 EUR
- 20:12:12 | 1 EUR
- 20:13:40 | 1 EUR
- 09:29:08 | 1 EUR
- 09:30:45 | 1 EUR
- 09:35:57 | 1 EUR
- 09:36:10 | 1 EUR
- 10:16:16 | 1 EUR
- 10:16:44 | 1 EUR
- 10:17:36 | 1 EUR
- 10:18:12 | 1 EUR
- 10:18:30 | 3 EUR
- 10:18:43 | 1 EUR
- 10:18:53 | 1 EUR
- 10:19:06 | 1 EUR
- 10:19:13 | 2 EUR
- 10:19:34 | 1 EUR
- 10:24:15 | 1 EUR
- 10:24:33 | 3 EUR
- 10:26:30 | 3 EUR
- 10:26:45 | 2 EUR
- 10:27:01 | 2 EUR
- 17:49:48 | 1 EUR
- 17:51:50 | 1 EUR
- 17:52:57 | 10 EUR
- 17:54:29 | 3 EUR
- 18:05:03 | 1 EUR
- 18:09:11 | 16 EUR
- 18:11:04 | 12 EUR
- 18:11:26 | 26 EUR
- 18:11:59 | 0.23 EUR
- 18:16:07 | 1 EUR
- 18:20:16 | 1.25 EUR
- 18:34:34 | 0.2 EUR
- 18:35:22 | 0.15 EUR
- 18:36:51 | 0.6 EUR
- 18:39:42 | 0.1 EUR
- 18:40:23 | 0.05 EUR
- 18:40:59 | 0.05 EUR
- 18:46:47 | 0.1 EUR
- 18:50:06 | 0.04 EUR
- 18:54:42 | .1 EUR
- 19:16:50 | 0.02 EUR
- 19:18:33 | 0.06 EUR
- 19:19:24 | 0.06 EUR
- 19:20:58 | 0.06 EUR
- 19:22:12 | 0.06 EUR
- 19:26:18 | 0.6 EUR
- 19:27:39 | 3 EUR
- 19:31:20 | 2 EUR
- 19:32:32 | 1 EUR
- 19:36:33 | 1 EUR
- 19:37:27 | 2 EUR
- 19:38:05 | 1.35 EUR
- 19:39:03 | 0.60 EUR
- 17:36:25 | 1 EUR
- 12:45:39 | 1 EUR
- 12:45:55 | 1 EUR
- 12:46:11 | 1 EUR
- 12:59:02 | 1 EUR
- 12:59:38 | 1 EUR
- 13:16:47 | 1 EUR
- 13:20:29 | 1 EUR
- 13:21:31 | 1 EUR
- 13:21:43 | 1 EUR
- 11:16:02 | .1 EUR
- 11:20:11 | .1 EUR
- 18:15:12 | 0.01 EUR
- 18:22:47 | 10 EUR
- 18:38:28 | 10 EUR
- 18:40:57 | 0.1 EUR
- 18:41:14 | 0.1 EUR
- 18:44:57 | 0.1 EUR
- 18:46:50 | 0.2 EUR
- 18:49:06 | 0.2 EUR
- 18:59:19 | 8 EUR
- 19:37:06 | 1 EUR
- 19:37:42 | 2 EUR
- 20:15:18 | 7 EUR
- 20:26:47 | 9 EUR
- 20:32:19 | 9 EUR
- 20:36:25 | 9 EUR
- 20:55:54 | 9 EUR
- 21:01:26 | 9 EUR
- 21:14:34 | 9 EUR
- 21:17:51 | 8 EUR
- 21:35:05 | 9 EUR
- 21:40:47 | 9 EUR
- 17:16:07 | 1 EUR
- 17:20:13 | 1 EUR
- 17:53:27 | 1 EUR
- 17:55:33 | 5 EUR
- 18:13:17 | 276 EUR
- 15:22:59 | 0.3 EUR
- 15:30:20 | .03 EUR
- 15:31:01 | .3 EUR
- 14:39:58 | 1 EUR
- 18:23:36 | 0.5 EUR
- 18:27:52 | 0.1 EUR
- 18:41:08 | .05 EUR
- 18:42:28 | .05 EUR
- 18:43:04 | .1 EUR
- 18:44:33 | .05 EUR
- 20:07:16 | 1 EUR
- 20:08:35 | 2 EUR
- 20:10:08 | 20210617 EUR
- 20:12:13 | 20210618 EUR
- 15:40:56 | 1 EUR
- 15:42:00 | 1.2 EUR
- 15:49:02 | 20210622 EUR
- 15:49:58 | 20210617 EUR
- 10:51:01 | 1 EUR
- 10:53:33 | 20210623 EUR
- 16:32:24 | 1 EUR
- 16:33:22 | 20210629 EUR
- 16:35:42 | 236.6 EUR
- 16:46:42 | .63 EUR
- 16:04:21 | 1 EUR
- 16:04:21 | 1 EUR
- 16:04:30 | 101 EUR
- 16:04:30 | 101 EUR
- 16:06:31 | 101 EUR
- 16:06:31 | 101 EUR
- 16:07:30 | 101 EUR
- 16:07:30 | 101 EUR
- 16:09:07 | 1234 EUR
- 16:09:07 | 1234 EUR
- 16:09:14 | 101 EUR
- 16:09:14 | 101 EUR
- 16:10:56 | 101 EUR
- 16:10:56 | 101 EUR
- 16:11:27 | 101 EUR
- 16:11:27 | 101 EUR
- 17:21:29 | 1 EUR
- 17:21:29 | 1 EUR
- 17:21:37 | 22 EUR
- 17:21:37 | 22 EUR
- 18:03:19 | 101 EUR
- 18:03:19 | 101 EUR
- 19:30:12 | 103 EUR
- 19:30:12 | 103 EUR
- 15:56:44 | 1 EUR
- 16:02:25 | 1 EUR
- 15:31:45 | 2.6 EUR
- 15:35:36 | 8.1 EUR
- 15:37:57 | 8.1 EUR
- 15:42:23 | .1 EUR
- 15:43:42 | .05 EUR
- 10:34:34 | .65 EUR
- 19:44:37 | 13 EUR
- 19:45:10 | 20211027 EUR
- 19:46:15 | 1 EUR
- 19:47:03 | 20211027 EUR
- 19:48:59 | 162726 EUR
- 10:38:55 | 222 EUR
- 10:39:44 | 2 EUR
- 10:39:53 | 7 EUR
- 10:41:01 | 2 EUR
